application,num_files,total_lines,label
application_1445062781478_0011,14,2121,Normal
application_1445062781478_0012,18,3930,Machine down
application_1445062781478_0013,27,4237,Machine down
application_1445062781478_0014,15,2901,Machine down
application_1445062781478_0015,15,2835,Machine down
application_1445062781478_0016,15,2196,Normal
application_1445062781478_0017,17,8230,Machine down
application_1445062781478_0018,23,4197,Machine down
application_1445062781478_0019,15,2160,Normal
application_1445062781478_0020,16,2218,Machine down
application_1445076437777_0001,21,3410,Machine down
application_1445076437777_0002,14,1899,Normal
application_1445076437777_0003,17,3036,Machine down
application_1445076437777_0004,13,2253,Machine down
application_1445076437777_0005,15,2406,Normal
application_1445087491445_0001,24,4209,Machine down
application_1445087491445_0002,24,6030,Machine down
application_1445087491445_0003,24,4566,Machine down
application_1445087491445_0004,31,5706,Machine down
application_1445087491445_0005,28,3996,Normal
application_1445087491445_0006,14,2356,Machine down
application_1445087491445_0007,14,2059,Normal
application_1445087491445_0008,15,2642,Machine down
application_1445087491445_0009,19,2722,Machine down
application_1445087491445_0010,22,3320,Machine down
application_1445094324383_0001,13,2188,Machine down
application_1445094324383_0002,14,3098,Machine down
application_1445094324383_0003,18,3141,Machine down
application_1445094324383_0004,19,3971,Machine down
application_1445094324383_0005,23,4739,Machine down
application_1445144423722_0020,30,63612,Network disconnection
application_1445144423722_0021,13,1808,Normal
application_1445144423722_0022,17,3628,Network disconnection
application_1445144423722_0023,22,62566,Network disconnection
application_1445144423722_0024,13,3043,Normal
application_1445175094696_0001,16,2748,Network disconnection
application_1445175094696_0002,17,2863,Network disconnection
application_1445175094696_0003,19,100648,Network disconnection
application_1445175094696_0004,15,1914,Network disconnection
application_1445175094696_0005,13,1937,Normal
application_1445182159119_0001,12,1738,Disk full
application_1445182159119_0002,22,3737,Disk full
application_1445182159119_0003,18,3708,Disk full
application_1445182159119_0004,17,3856,Disk full
application_1445182159119_0005,12,1748,Disk full
application_1445182159119_0011,17,3003,Disk full
application_1445182159119_0012,13,1800,Normal
application_1445182159119_0013,15,2780,Disk full
application_1445182159119_0014,20,4011,Disk full
application_1445182159119_0015,19,3365,Disk full
application_1445182159119_0016,16,4766,Machine down
application_1445182159119_0017,14,1856,Machine down
application_1445182159119_0018,20,4057,Machine down
application_1445182159119_0019,18,2831,Machine down
application_1445182159119_0020,13,3515,Machine down
